what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182396032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182396063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182396157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182977762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182980653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182980887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182981575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182983622
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343182985263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343182990888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182994669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182994685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182994825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343182999451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343183000810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343183000826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343183000935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184300254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184301129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184385695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184412430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184412914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184412930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184413524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184413664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184626438
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343184632188
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1343184633157
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1343184633203
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1343184633235
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1343184633282
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1343184633329
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1343184633375
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1343184633375
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1343198770764
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1343198770764
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1343198770795
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1343198770826
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1343198770857
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1343198770873
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1343198770920
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1343198770951
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1343198770967
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1343198771014
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1343198771029
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1343198771076
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1343198771139
